-1383364,05670431
-1383361,0827051715
-1383795,99010101
-1383916,0827051723
-1383445,53631478
-1383734,0827051775
-1383558,0827051771
-1384111,31365000
-1384095,0827051765
-1384275,0827051709
-1384613,0827051761
-1384439,0827051748
-1384612,0827051753
-1385579,0127163780
-1385521,0127160082
-1385578,0127163680
-1385522,0127160181
-1385575,0127163481
-1385576,0127163581
-1385577,0127163582
-1385759,01272336
-1385953,0127164781
-1385698,0127237581
-1385954,0127165081
-1385814,01272347
-1385753,01271613
-1385952,01271642
-1385813,0127234280
-1385957,0127236683
-1386066,01137900
-1385755,0127162681
-1385754,01271616
-1385835,01367900
-1385955,01271663
-1385756,0127162981
-1385757,0127163182
-1385697,0127237480
-1385758,01272333
-1386390,0527251081
-1386379,0527239380
-1386401,0527224080
-1386406,0527224682
-1386410,0527225381
-1386377,05273077
-1386393,05272144
-1386387,05272478
-1386407,0527225083
-1386402,0527224280
-1386400,0527223981
-1386388,0527247982
-1386380,0527239582
-1386404,0527224282
-1386408,0527225280
-1386409,0527225380
-1386389,05272496
-1386386,0527247081
-1386392,0527214381
-1386405,0527224382
-1386385,0527246981
-1386403,0527224281
-1386636,0527189680
-1386761,0527214980
-1386765,0527153380
-1386904,0527226282
-1387060,05630731
-1386632,0527187480
-1386743,0527239981
-1386877,0527241580
-1386885,0527278480
-1386905,0527226482
-1386556,05630639
-1386662,0527135182
-1386737,0527192380
-1386894,0527217182
-1386903,0527226180
-1386736,0527191780
-1386744,0527240081
-1386754,0527204781
-1386772,05638720
-1386891,0527280382
-1386890,05272800
-1386902,0527226080
-1387057,05630716
-1387058,05630723
-1386690,05630696
-1386763,0527215381
-1386886,0527278880
-1386870,0527311381
-1386893,0527217080
-1386888,0527279382
-1387059,05630730
-1386558,05630652
-1386752,0527203982
-1386748,0527202981
-1386561,05630674
-1386559,05630665
-1386639,0527190881
-1386648,0527202681
-1386689,05630693
-1386738,0527192382
-1386745,0527240182
-1386766,0527153383
-1386869,0527311380
-1386994,0527983282
-1387020,0527228381
-1386557,05630648
-1386638,0527190681
-1386688,05630690
-1386741,0527239682
-1386740,0527192580
-1386753,0527204581
-1386770,0527167980
-1386634,0527187681
-1386746,0527240780
-1386751,0527203881
-1386760,0527214881
-1386764,0527216281
-1386769,0527166482
-1386889,0527279483
-1386901,0527225980
-1386992,0527897380
-1386739,0527192383
-1386908,0527228180
-1386906,0527226782
-1386993,0527981082
-1386750,0527203782
-1386762,0527215281
-1386892,0527216380
-1386907,0527226880
-1386663,0527140880
-1386687,05630686
-1386768,0527164782
-1386771,05630959
